N	1	2	3	Imax	Imin	zmin	Skm
1	Г	Н	Н	21	13	4.401	$S_{11}$
2	Г	КЗ	Н	21	12	4.410	$S_{12}$
3	Г	Н	КЗ	20	13	4.40	$S_{13}$
4	Н	Г	Н	16	12	5.145	$S_{22}$
5	Н	Г	КЗ	16	12	5.145	$S_{23}$
6	Н	Н	Г	100	1	4.525	$S_{33}$
