N	1	2	3	Imax	Imin	zmin	Skm
1	Г	Н	Н	94	1	4.510	$S_{11}$
2	Г	КЗ	Н	95	0.5	4.560	$S_{12}$
3	Г	Н	КЗ	90	0.5	4.575	$S_{13}$
4	Н	Г	Н	17	11	3.250	$S_{22}$
5	Н	Г	КЗ	32	1	2.5	$S_{23}$
6	Н	Н	Г	16	14	3.375	$S_{33}$
